case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
4,0,2.3,1,0,0,1800,300,1.04895,1.04895,0.0998177,7.99301,0.380326,6.82246e-310,3.03995e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.80325554e-01,6.82245592e-310,3.03994770e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,5.40000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.80325554e-01,6.82245592e-310,3.03994770e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.20000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.80325554e-01,6.82245592e-310,3.03994770e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,9.00000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.80325554e-01,6.82245592e-310,3.03994770e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.08000000e+04,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.80325554e-01,6.82245592e-310,3.03994770e+07,2.70801656e+04,0.00000000e+00,8.12404967e+06,8.55609019e+06,
4,0,2.30000000e+00,1.00000000e+00,5.24474712e-01,0.00000000e+00,1.80000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.35636128e-01,6.82245592e-310,2.68274447e+07,2.38981626e+04,0.00000000e+00,7.16944877e+06,7.55072321e+06,
4,0,2.30000000e+00,1.00000000e+00,5.24474712e-01,0.00000000e+00,3.60000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.35636128e-01,6.82245592e-310,2.68274447e+07,2.38981626e+04,0.00000000e+00,7.16944877e+06,7.55072321e+06,
4,0,2.30000000e+00,1.00000000e+00,5.24474712e-01,0.00000000e+00,5.40000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.35636128e-01,6.82245592e-310,2.68274447e+07,2.38981626e+04,0.00000000e+00,7.16944877e+06,7.55072321e+06,
4,0,2.30000000e+00,1.00000000e+00,5.24474712e-01,0.00000000e+00,7.20000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.35636128e-01,6.82245592e-310,2.68274447e+07,2.38981626e+04,0.00000000e+00,7.16944877e+06,7.55072321e+06,
4,0,2.30000000e+00,1.00000000e+00,5.24474712e-01,0.00000000e+00,9.00000000e+03,3.00000000e+02,1.04894948e+00,1.04894948e+00,9.98177230e-02,7.99301460e+00,3.35636128e-01,6.82245592e-310,2.68274447e+07,2.38981626e+04,0.00000000e+00,7.16944877e+06,7.55072321e+06,
